Country name,Day,Population,Total deaths,Total cases,New cases,Case fatality rate
North America,1/1/21,592072204,515707,23241465,171672,2.218909178
North America,1/2/21,592072204,518718,23556025,314560,2.202060832
North America,1/3/21,592072204,520703,23790353,234328,2.188714896
North America,1/4/21,592072204,523701,23999954,209601,2.182091682
North America,1/5/21,592072204,528698,24260624,260670,2.179243205
North America,1/6/21,592072204,534058,24547002,286378,2.175654689
North America,1/7/21,592072204,539342,24855756,308754,2.169887731
North America,1/8/21,592072204,544773,25181123,325367,2.163418208
North America,1/9/21,592072204,549478,25477572,296449,2.156712578
North America,1/10/21,592072204,552167,25714098,236526,2.147331787
North America,1/11/21,592072204,555165,25952199,238101,2.139182888
North America,1/12/21,592072204,561264,26210303,258104,2.141386919
North America,1/13/21,592072204,566834,26472731,262428,2.141199561
North America,1/14/21,592072204,572091,26740633,267902,2.139407096
North America,1/15/21,592072204,577364,27018467,277834,2.136923609
North America,1/16/21,592072204,582240,27255506,237039,2.136228915
North America,1/17/21,592072204,584805,27456141,200635,2.129960653
North America,1/18/21,592072204,587129,27621268,165127,2.12564101
North America,1/19/21,592072204,591737,27829630,208362,2.126284108
North America,1/20/21,592072204,598000,28046212,216582,2.13219525
North America,1/21/21,592072204,604257,28276558,230346,2.136953868
North America,1/22/21,592072204,609822,28501118,224560,2.139642382
North America,1/23/21,592072204,614859,28703320,202202,2.142118055
North America,1/24/21,592072204,617478,28855244,151924,2.139916058
North America,1/25/21,592072204,620359,29027323,172079,2.137155397
North America,1/26/21,592072204,626401,29202674,175351,2.145012474
North America,1/27/21,592072204,632201,29385449,182775,2.151408338
North America,1/28/21,592072204,638060,29584400,198951,2.156744771
North America,1/29/21,592072204,643380,29778952,194552,2.160519282
North America,1/30/21,592072204,647881,29946939,167987,2.163429792
North America,1/31/21,592072204,650362,30075736,128797,2.162414246
North America,2/1/21,592072204,653192,30225559,149823,2.16105846
North America,2/2/21,592072204,657305,30354051,128492,2.165460551
North America,2/3/21,592072204,663144,30498541,144490,2.174346635
North America,2/4/21,592072204,667139,30632913,134372,2.17785034
North America,2/5/21,592072204,674069,30804071,171158,2.188246482
North America,2/6/21,592072204,678375,30930300,126229,2.193237699
North America,2/7/21,592072204,680316,31033198,102898,2.192220086
North America,2/8/21,592072204,682647,31136386,103188,2.192441345
North America,2/9/21,592072204,687651,31249927,113541,2.20048834
North America,2/10/21,592072204,692500,31364700,114773,2.207896138
North America,2/11/21,592072204,697364,31490019,125319,2.214555666
North America,2/12/21,592072204,701773,31608597,118578,2.220196613
North America,2/13/21,592072204,705338,31714021,105424,2.224057303
North America,2/14/21,592072204,706999,31788466,74445,2.224073977
North America,2/15/21,592072204,708527,31852454,63988,2.224403181
North America,2/16/21,592072204,711756,31932775,80321,2.228919973
North America,2/17/21,592072204,715352,32018977,86202,2.234150079
North America,2/18/21,592072204,719057,32106654,87677,2.239588716
North America,2/19/21,592072204,722734,32201941,95287,2.244380238
North America,2/20/21,592072204,725492,32288260,86319,2.246921946
North America,2/21/21,592072204,727138,32354906,66646,2.247380969
North America,2/22/21,592072204,729017,32421609,66703,2.248552809
North America,2/23/21,592072204,732665,32509927,88318,2.253665473
North America,2/24/21,592072204,736984,32600866,90939,2.260627064
North America,2/25/21,592072204,740351,32693975,93109,2.26448757
North America,2/26/21,592072204,743345,32786334,92359,2.267240369
North America,2/27/21,592072204,745756,32864736,78402,2.269167779
North America,2/28/21,592072204,747356,32924107,59371,2.269935522
North America,3/1/21,592072204,749422,32992825,68718,2.27146963
North America,3/2/21,592072204,752497,33065577,72752,2.275771568
North America,3/3/21,592072204,755990,33147548,81971,2.280681515
North America,3/4/21,592072204,758849,33230257,82709,2.28360858
North America,3/5/21,592072204,761422,33309943,79686,2.285870018
North America,3/6/21,592072204,763773,33381195,71252,2.288033727
North America,3/7/21,592072204,764785,33431101,49906,2.287645268
North America,3/8/21,592072204,765927,33485219,54118,2.287358491
North America,3/9/21,592072204,768700,33558797,73578,2.290606543
North America,3/10/21,592072204,771053,33630972,72175,2.292687229
North America,3/11/21,592072204,773370,33707587,76615,2.294349934
North America,3/12/21,592072204,775737,33784430,76843,2.296137599
North America,3/13/21,592072204,778178,33850077,65647,2.298895805
North America,3/14/21,592072204,779029,33896354,46277,2.298267831
North America,3/15/21,592072204,780103,33961529,65175,2.297019666